USER_ID,NUMBER_OF_RATINGS,AVERAGE_RATING_GIVEN
118205,9254,3.279068511
8405,7515,3.2083167
82418,5646,3.51691463
121535,5520,2.793115942
125794,5491,3.762975779
74142,5447,1.577473839
34576,5356,3.011669156
131904,5330,3.248874296
83090,5169,2.40491391
59477,4988,2.455092221
130767,4785,3.218913271
79159,4707,3.284682388
8963,4524,3.033377542
15617,4354,3.188791915
92011,4236,3.505665722
71975,4182,3.044117647
20132,4101,3.530724214
46470,4094,2.333659013
88820,4093,3.144637185
63147,3958,2.743683679
